Fleet,SailNo,HelmName,HelmAgeGroup,HelmSex,Code,Race
Amateur,199,Alastair Campbell,-,M,ATT,7
Amateur,263,Andy Stuart-William,M,M,ATT,7
Amateur,16,Bob Ingram,V,M,ATT,7
Amateur,441,Charles Milner,V,M,ATT,7
Amateur,192,Darly Langford,M,M,ATT,7
Amateur,44,David Strudwick,V,M,ATT,7
Amateur,26,Eddie Marsh,M,M,ATT,7
Amateur,606,Garry Connell,M,M,ATT,7
Amateur,80,George Fulton,V,M,ATT,7
Amateur,358,Gerry Northwood,V,M,ATT,7
Amateur,1117,Ian Roberts,-,M,ATT,7
Amateur,12 O bib,James Faley,U17,M,ATT,7
Amateur,9997,Jenna Gibson,U20,F,ATT,7
Amateur,120,Larry Chan,M,M,ATT,7
Amateur,688,Mark Ingram,M,M,ATT,7
Amateur,503,Martin Jerrard,V,M,ATT,7
Amateur,132,Peter Whitmore,M,M,ATT,7
Amateur,396,Richie Hill,U17,M,ATT,7
Amateur,616,Samuel Anstey,U17,M,ATT,7
Amateur,857,Sarah Jackson,U20,F,ATT,7
Amateur,984,Simon Chippington,M,M,ATT,7
Amateur,209,Tyler Baker,U15,M,ATT,7
Amateur,47,Zara Davis,M,F,ATT,7
