Tally,Fleet,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
1,Amateur,88,,Roger Clark,GM,M,3,ATT
2,Amateur,199,,Alistair Campbell,M,M,3,ATT
3,Amateur,984,,Simon Chippington,M,M,3,ATT
4,Amateur,74,,Marti Jerrard,GM,M,3,ATT
5,Amateur,441,,Charles Milner,V,M,3,ATT
6,Amateur,44,,Dave Strudwick,GM,M,3,ATT
7,Amateur,16,,Bob Ingram,V,M,3,ATT
8,Amateur,318,,Tamer Bereiki,-,M,3,ATT
9,Amateur,321,,Mark Drake,GM,M,3,ATT
10,Amateur,562,,Joseph Drake,-,M,3,ATT
11,Amateur,673,,Denis Gordo,M,M,3,ATT
12,Amateur,482,,Rob Mulholland,GM,M,3,ATT
13,Amateur,736,,Nick Deakin,GM,M,3,ATT
14,Amateur,559,,Andrew Twinn,-,M,3,ATT
15,Amateur,158,,Tom Joyce,GM,M,3,ATT
16,Amateur,179,,Harry Somerville,J,M,3,ATT
